2024-04-11 16:16:35.348 [info] Log level: Info
2024-04-11 16:16:35.348 [info] Validating found git in: "git"
2024-04-11 16:16:35.348 [info] Using git "2.39.2" from "git"
2024-04-11 16:16:35.348 [info] > git rev-parse --show-toplevel [8ms]
2024-04-11 16:16:35.349 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:16:35.359 [info] > git rev-parse --show-toplevel [5ms]
2024-04-11 16:16:35.365 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:16:35.369 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:18:04.316 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:18:19.880 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:33:32.255 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:33:45.289 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:35:43.248 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:35:49.848 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:42:14.749 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:42:14.755 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:42:20.017 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:42:20.059 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:42:20.066 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:43:56.760 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:43:56.810 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:43:56.817 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:46:38.132 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:46:43.301 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:46:43.308 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 17:33:14.697 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 17:33:14.719 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 17:33:14.726 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 17:33:33.314 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 17:33:33.329 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 17:33:33.335 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 17:41:30.321 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:10:10.774 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:10:13.691 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:13:17.473 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:13:31.390 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:13:40.632 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:13:55.075 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:14:09.147 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:14:11.137 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:14:12.307 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:16:31.412 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:17:43.212 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:17:46.823 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:17:51.426 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:19:57.682 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:19:59.376 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:20:19.793 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:20:19.806 [info] > git rev-parse --show-toplevel [6ms]
2024-04-11 19:20:29.055 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:20:29.068 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:20:29.073 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:20:58.685 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:20:58.707 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:20:58.714 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:22:27.558 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:22:27.578 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:22:27.586 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:22:46.640 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:22:46.652 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:22:46.658 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:30:33.776 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:30:33.799 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:30:33.805 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:31:04.238 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:31:04.282 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 19:31:04.293 [info] > git rev-parse --show-toplevel [3ms]
2024-04-11 19:31:17.558 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:31:17.571 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 19:31:17.579 [info] > git rev-parse --show-toplevel [2ms]
